Date,Time,Open,High,Low,Close,Volume
2013.09.08,0:00,0.92066,0.92084,0.91863,0.91891,3100
2013.09.09,0:00,0.91891,0.92408,0.91659,0.92285,46625
2013.09.10,0:00,0.92284,0.93178,0.92282,0.9298,57822
2013.09.11,0:00,0.92981,0.93381,0.92752,0.93314,52482
2013.09.12,0:00,0.93315,0.93529,0.92256,0.92626,55073
2013.09.13,0:00,0.92625,0.92658,0.92223,0.92438,43025
2013.09.15,0:00,0.93368,0.93907,0.93153,0.9322,6906
2013.09.16,0:00,0.93218,0.93859,0.93041,0.93178,44585
2013.09.17,0:00,0.93182,0.93652,0.92838,0.93513,41863
2013.09.18,0:00,0.9351,0.95272,0.93348,0.94932,51461
2013.09.19,0:00,0.94933,0.95232,0.9426,0.94428,49392
2013.09.20,0:00,0.94428,0.94573,0.93766,0.93956,37408
2013.09.22,0:00,0.93681,0.94019,0.93644,0.93988,3428
2013.09.23,0:00,0.93987,0.94559,0.93804,0.94181,42722
2013.09.24,0:00,0.9418,0.94183,0.93626,0.93812,39839
2013.09.25,0:00,0.93812,0.93924,0.93372,0.93606,41070
2013.09.26,0:00,0.93605,0.94003,0.93391,0.9356,39149
2013.09.27,0:00,0.9356,0.93737,0.92968,0.93151,38081
2013.09.29,0:00,0.93143,0.93193,0.92852,0.92968,5228
2013.09.30,0:00,0.92969,0.93531,0.92796,0.93214,47378
2013.10.01,0:00,0.93213,0.94341,0.92867,0.93918,54461
2013.10.02,0:00,0.93915,0.94073,0.93326,0.9383,47096
2013.10.03,0:00,0.93831,0.94138,0.93658,0.93992,47953
2013.10.04,0:00,0.93992,0.94573,0.93992,0.94302,35984
2013.10.06,0:00,0.94255,0.94408,0.94239,0.94398,3410
2013.10.07,0:00,0.94398,0.94481,0.9387,0.94308,39827
2013.10.08,0:00,0.94307,0.9483,0.94102,0.9449,54473
2013.10.09,0:00,0.94489,0.94633,0.94121,0.94475,55278
2013.10.10,0:00,0.94475,0.94713,0.93881,0.94538,58044
2013.10.11,0:00,0.94537,0.94836,0.94427,0.94645,43507
2013.10.13,0:00,0.94316,0.94456,0.94281,0.94452,5140
2013.10.14,0:00,0.94451,0.95133,0.9433,0.95112,44720
2013.10.15,0:00,0.95114,0.95463,0.94977,0.9538,58490
2013.10.16,0:00,0.9538,0.9567,0.9504,0.9541,57180
2013.10.17,0:00,0.95409,0.96458,0.95262,0.96155,61814
2013.10.18,0:00,0.96153,0.96761,0.96034,0.96736,42397
2013.10.20,0:00,0.96593,0.96729,0.96584,0.9659,3910
2013.10.21,0:00,0.96591,0.96779,0.96416,0.96501,39405
2013.10.22,0:00,0.96501,0.97296,0.96425,0.97002,45642
2013.10.23,0:00,0.97004,0.97565,0.96061,0.96405,67098
2013.10.24,0:00,0.96405,0.96696,0.95708,0.96157,56667
2013.10.25,0:00,0.96156,0.96231,0.95712,0.95822,46396
2013.10.27,0:00,0.95826,0.95978,0.95812,0.95966,3254
2013.10.28,0:00,0.95965,0.96215,0.95293,0.95417,48247
2013.10.29,0:00,0.95416,0.95458,0.94707,0.94772,62028
2013.10.30,0:00,0.94772,0.95148,0.94404,0.94646,56061
2013.10.31,0:00,0.94646,0.95244,0.94412,0.94615,63757
2013.11.01,0:00,0.94612,0.94883,0.94204,0.94349,49454
2013.11.03,0:00,0.94547,0.94667,0.94428,0.94664,3668
2013.11.04,0:00,0.94664,0.95146,0.94605,0.951,49746
2013.11.05,0:00,0.951,0.95363,0.94624,0.9497,59930
2013.11.06,0:00,0.94969,0.95423,0.94851,0.95244,51292
2013.11.07,0:00,0.95243,0.9525,0.9438,0.94538,71740
2013.11.08,0:00,0.9454,0.94798,0.93513,0.9382,62687
2013.11.10,0:00,0.93814,0.93864,0.93669,0.93689,2790
2013.11.11,0:00,0.93688,0.93895,0.93432,0.93628,45641
2013.11.12,0:00,0.93628,0.9367,0.92677,0.93007,56580
2013.11.13,0:00,0.93007,0.93724,0.92775,0.93618,54424
2013.11.14,0:00,0.93615,0.93853,0.92799,0.93063,57996
2013.11.15,0:00,0.93062,0.93735,0.93046,0.93664,40689
2013.11.17,0:00,0.93741,0.93757,0.93623,0.93676,2307
2013.11.18,0:00,0.93676,0.94174,0.93575,0.93661,48157
2013.11.19,0:00,0.93662,0.94467,0.93513,0.94395,57299
